uid,level,vip_type,vip_status,time_after
86636676,4,0,0,799006
16259469,5,1,0,798933
19059579,5,2,1,798896
32228453,5,2,1,798706
36840304,5,1,0,798671
11920734,5,0,0,798636
13155572,5,0,0,798531
436719315,3,0,0,798464
44122670,4,0,0,798385
445560825,3,0,0,798234
379786270,3,1,1,798208
255741399,4,1,0,798168
20570611,5,1,0,798077
13914770,5,0,0,797982
41825725,4,2,1,797957
476623656,3,0,0,797947
402919617,4,1,0,797890
550489793,2,0,0,797805
328459499,4,0,0,797804
393524627,4,1,0,797710
343554042,4,0,0,797701
452135559,3,1,1,797548
283772883,4,1,0,797504
323588021,4,1,1,797363
108423869,4,0,0,797346
21964385,5,0,0,797295
396885986,4,0,0,797227
15677037,4,0,0,797202
98863742,4,2,1,797145
169231950,3,0,0,797095
270334599,4,1,1,797068
2899074,5,1,0,797058
398760478,4,1,1,796965
306223999,5,0,0,796871
362822214,4,1,1,796851
349549281,4,0,0,796752
169586789,3,0,0,796557
82735791,4,0,0,796304
325975898,5,1,0,796214
21668735,5,1,1,795944
60893855,4,0,0,795880
92170142,5,1,0,795811
245069113,4,1,1,795744
76731021,5,1,1,795742
503994808,2,0,0,795519
478773448,3,0,0,795497
327497942,4,0,0,795426
473036928,3,0,0,795311
533676355,2,2,1,795249
162113850,4,1,0,795016
360807443,3,0,0,794992
258882372,4,2,1,794950
62448041,5,0,0,794924
29319783,5,1,1,794874
12621067,5,1,0,794854
270407621,5,0,0,794839
406139796,2,0,0,794828
393622466,4,1,0,794636
290353266,4,0,0,794625
40822547,5,0,0,794589
492084052,3,0,0,794317
498295130,2,0,0,794304
503222120,2,0,0,794289
13517173,5,0,0,794272
350991658,4,0,0,793981
88056069,4,1,0,793913
36164431,5,1,1,793899
288787283,5,1,0,793885
388962029,4,0,0,793739
383606159,4,1,0,793700
400681153,3,0,0,793624
476401430,3,0,0,793585
391811053,4,1,0,793431
391811053,4,1,0,793429
391811053,4,1,0,793428
391811053,4,1,0,793426
391811053,4,1,0,793425
391811053,4,1,0,793422
391811053,4,1,0,793420
391811053,4,1,0,793419
391811053,4,1,0,793418
391811053,4,1,0,793416
402396335,4,1,0,793395
32516806,5,1,0,793389
228897731,4,0,0,793331
40204510,5,2,1,793273
441462754,4,0,0,793043
70871805,5,1,0,792930
155091602,5,0,0,792894
193108019,4,0,0,792847
10746311,6,2,1,792665
170978300,5,2,1,792569
345714752,3,1,1,792232
482425155,3,0,0,792135
177282185,3,0,0,792120
10783740,5,1,0,792103
165429967,5,0,0,792066
299590296,4,1,1,791895
299590296,4,1,1,791893
315559946,4,0,0,791875
23403117,5,1,0,791868
437405199,4,0,0,791755
239936978,5,2,1,791703
436422864,2,0,0,791682
6722283,5,2,1,791491
256138801,4,0,0,791490
2247749,5,1,1,791460
176356031,5,2,1,791459
31343062,5,1,1,791395
300652428,4,0,0,791342
336105505,2,0,0,791269
434309540,3,0,0,791148
519180949,3,0,0,790908
28630204,5,2,1,790876
23314083,4,0,0,790803
56358253,2,0,0,790782
175459400,4,1,0,790592
399735007,4,0,0,790372
26505186,5,0,0,790306
314810742,3,1,0,790222
300294955,2,0,0,790162
374876326,3,1,1,790047
515798514,2,0,0,790036
434230283,3,0,0,789977
8845589,6,2,1,789971
34394352,5,0,0,789948
341387384,4,0,0,789925
509804691,3,0,0,789918
412153062,3,0,0,789844
602232629,1,0,0,789654
448372553,4,1,1,789591
341755390,3,0,0,789545
156517835,4,1,0,789526
90918174,5,2,1,789509
214028698,4,1,0,789449
100905529,4,1,1,789436
258107299,5,0,0,789386
417542547,4,0,0,789372
24190079,5,1,0,789293
45989560,5,1,0,788990
91871820,4,2,1,788852
355682374,3,0,0,788840
546598414,2,0,0,788779
43945420,4,2,1,788738
406268420,4,0,0,788714
366093510,3,0,0,788552
245890565,5,0,0,788507
486721653,3,0,0,788487
14557233,5,2,1,788431
13829252,5,2,1,788368
384152601,4,0,0,788283
110373438,5,2,1,788268
85904524,4,0,0,788247
486721653,3,0,0,788161
381966699,4,0,0,788138
8003117,5,2,1,787961
237563281,5,0,0,787930
237563281,5,0,0,787929
237563281,5,0,0,787928
237563281,5,0,0,787928
237563281,5,0,0,787927
237563281,5,0,0,787925
237563281,5,0,0,787924
237563281,5,0,0,787922
389438708,3,0,0,787921
237563281,5,0,0,787920
237563281,5,0,0,787918
6577754,5,2,1,787889
1425508,6,1,0,787870
66082974,5,1,0,787835
379390013,4,1,1,787819
319381636,4,0,0,787806
476035532,3,0,0,787722
235632160,3,0,0,787717
9798542,3,0,0,787577
397338051,4,1,1,787571
86389200,5,1,0,787568
305719295,4,1,0,787549
295376599,4,2,1,787484
188857260,5,0,0,787383
104400424,4,0,0,787351
17620887,5,1,0,787347
267967170,4,0,0,787340
407715964,4,0,0,787329
254030442,4,0,0,787298
38082635,4,1,0,787189
242661105,4,0,0,787040
77394754,5,1,0,786992
378790359,3,0,0,786972
378790359,3,0,0,786970
518786476,2,0,0,786929
395637366,3,0,0,786885
73649023,5,2,1,786877
89568737,4,0,0,786834
45131656,5,0,0,786794
11562426,5,0,0,786775
12154959,5,2,1,786614
429379225,3,0,0,786611
71583736,4,0,0,786603
71583736,4,0,0,786588
71583736,4,0,0,786580
4671735,5,2,1,786543
18428203,5,1,1,786508
66687011,5,1,1,786482
175585385,4,0,0,786391
383826106,4,0,0,786329
636870,5,1,0,786133
443222967,3,1,0,786053
346995317,4,1,0,786038
405553891,4,0,0,785948
11594114,5,2,1,785932
178613845,3,0,0,785864
394738199,4,0,0,785807
489229170,3,0,0,785770
380779641,4,1,0,785765
274997205,5,1,1,785735
30845237,5,0,0,785724
479649126,3,0,0,785628
7820136,4,0,0,785528
356497317,3,0,0,785507
262326890,4,0,0,785501
11131974,6,2,1,785453
438802996,2,0,0,785448
7569258,3,0,0,785421
18657080,4,0,0,785356
291122299,4,1,1,785353
18657080,4,0,0,785353
4265227,5,1,0,785330
336838491,4,1,0,785327
336838491,4,1,0,785320
284966290,5,1,0,785317
393173720,3,1,0,785309
367454111,4,0,0,785302
170716241,4,1,0,785238
56294026,5,0,0,785228
18506281,5,1,1,785154
384935079,4,1,1,785121
32661406,5,0,0,785090
15735913,5,0,0,785090
14405988,5,1,1,785027
323293024,5,0,0,784954
202340126,5,1,1,784933
392946605,3,0,0,784910
507478652,3,1,1,784900
290056659,3,0,0,784861
3187829,5,2,1,784772
232665995,5,0,0,784723
390459050,3,0,0,784718
389155753,2,0,0,784710
32255087,5,0,0,784697
17431608,5,2,1,784695
38286564,5,0,0,784659
449384859,3,0,0,784579
80025210,4,1,1,784518
27786163,5,1,1,784449
418002103,3,0,0,784434
394284795,4,1,1,784411
382819348,3,1,0,784410
335022194,4,1,1,784362
123784721,5,2,1,784283
34424454,5,1,0,784202
89017340,5,0,0,784189
385298165,3,0,0,784126
50781510,4,0,0,784061
44183944,5,1,0,784048
50032497,5,1,0,783853
277614954,4,0,0,783850
409159078,2,0,0,783847
345806585,5,0,0,783783
429982796,3,0,0,783748
26204244,5,1,0,783736
26204244,5,1,0,783736
85949770,5,1,1,783668
117446056,5,2,1,783606
299404185,2,1,0,783581
13547265,5,2,1,783558
283144529,4,1,0,783527
515798514,2,0,0,783492
304771603,4,1,1,783479
49311930,4,1,1,783462
237563281,5,0,0,783444
383058599,4,1,0,783380
283658494,4,1,0,783328
321591134,4,0,0,783212
107806326,4,0,0,783186
396555255,4,0,0,783177
159196627,4,0,0,783177
341505044,3,1,0,783166
23465539,5,2,1,783157
138486577,4,0,0,783156
359716906,4,1,1,783141
442405056,3,1,0,783132
414915676,2,0,0,783119
30053994,5,0,0,783114
22472448,5,1,0,783039
341925284,4,1,0,782980
441895073,3,0,0,782916
37437981,5,2,1,782859
512352090,2,0,0,782822
25372057,5,1,0,782821
22696753,3,1,0,782773
22696753,3,1,0,782773
250383358,4,0,0,782772
361501804,4,0,0,782763
26488580,5,1,0,782715
99983028,5,1,0,782648
10412752,5,0,0,782618
356137718,4,1,0,782617
350901671,4,0,0,782604
479355363,3,0,0,782595
312249834,4,2,1,782585
51330733,4,0,0,782569
23657599,5,2,1,782515
5301260,4,2,1,782492
57183,5,2,1,782483
258841782,4,0,0,782468
317149689,4,0,0,782416
268958574,4,1,1,782416
10734655,6,2,1,782354
436327077,3,0,0,782344
354382357,4,0,0,782340
5318212,5,1,1,782339
326315178,3,1,0,782331
423782885,3,0,0,782316
423782885,3,0,0,782311
253993420,4,1,1,782254
435506611,3,0,0,782233
339079789,4,0,0,782221
37846105,3,1,1,782215
1423182,5,1,1,782204
399898285,4,0,0,782196
37774005,5,0,0,782146
192588041,5,1,0,782121
36131157,4,1,1,782067
403321882,4,1,0,782055
281243835,4,2,1,782052
283017565,3,1,0,782050
10936345,5,0,0,782028
3587110,5,2,1,781996
552078653,2,0,0,781992
397161071,4,0,0,781984
93689499,5,1,0,781960
123973670,5,2,1,781941
66802600,5,0,0,781918
399428126,4,0,0,781910
32595083,5,1,0,781900
176840421,5,1,0,781900
25351165,3,1,0,781889
358048780,4,1,1,781860
174797029,5,2,1,781806
6922522,5,1,0,781791
5801161,5,2,1,781778
76718038,5,2,1,781767
442477397,2,0,0,781761
452122679,3,0,0,781757
430137281,3,1,1,781749
175644219,5,0,0,781724
31056296,5,2,1,781717
386973639,2,0,0,781677
15275536,4,0,0,781673
281711003,5,1,1,781670
391713965,4,0,0,781657
482443337,3,2,1,781633
277961850,4,0,0,781627
455764739,4,1,1,781584
254463269,6,2,1,550
8653128,5,1,0,292
71402166,3,1,0,385
16307650,5,2,1,254
32675929,5,1,1,2515
297718673,5,0,0,766
138901521,4,1,1,550
323721360,4,0,0,216
44028813,5,2,1,6072
109685971,5,0,0,288
96919217,5,0,0,310
103377146,4,1,1,278
22442752,5,2,1,229
128448229,2,0,0,231
519823631,2,0,0,17005
414418753,2,0,0,6529
503607983,3,0,0,2054
435984341,3,0,0,508
438408535,4,0,0,340
455163174,3,2,1,825
443630165,3,1,0,777
26357415,4,1,0,681
34204873,4,2,1,1190
36087437,5,2,1,520
306917789,3,0,0,356
37369617,5,1,0,250
293280232,4,0,0,1224
22763793,5,1,0,751
473204032,3,1,0,289
287294067,5,2,1,1076
38361398,5,0,0,1015
308043111,3,0,0,2996
128500113,4,2,1,1648
400923789,4,1,0,1551
230156399,3,0,0,437
284076853,5,1,1,28024
279981638,4,0,0,16264
410214217,4,1,0,13264
436375049,3,1,0,3967
162971123,4,1,0,3795
396866294,4,2,1,3507
500562149,3,1,1,3465
435153878,3,1,1,3395
418981307,4,1,1,2747
451884007,3,0,0,1886
472617574,2,0,0,845
178692462,4,1,1,676
476506141,3,0,0,734
8199073,5,0,0,1786
386986161,4,0,0,511
268124088,4,1,0,250
403648063,3,0,0,599670
432257118,3,0,0,174669
198611391,4,1,1,16398
472553043,3,0,0,13036
158268931,3,0,0,9881
321660123,3,1,1,3875
321540436,3,0,0,3192
362048905,3,1,0,2399
434665397,3,0,0,2025
395471339,3,0,0,1975
519740181,3,0,0,1970
253330569,4,0,0,1591
2515327,5,1,0,1476
475965605,3,0,0,1192
286353875,5,1,0,1011
356523902,4,1,1,764
381260199,3,0,0,764
436613631,3,1,0,723
497279215,3,1,0,470
36834689,4,0,0,226
255167729,4,2,1,251
42181864,5,2,1,235
263191603,4,1,1,212
511607431,3,1,0,891944
291878666,2,0,0,852418
22354525,5,1,0,795012
526122058,2,1,0,781269
455873208,3,1,0,780502
88020356,4,1,0,780060
504289995,2,0,0,776414
32984197,4,0,0,753303
479875291,2,0,0,718360
3252699,4,1,1,695915
142950300,3,0,0,691266
384447019,2,0,0,685934
517694622,2,0,0,671951
470330763,2,0,0,662267
34243133,4,1,1,630231
481913757,3,1,1,623441
413259825,3,0,0,621785
387289849,3,0,0,619522
399433131,4,0,0,619265
396990075,3,0,0,613415
399726027,3,0,0,611189
377704655,4,0,0,608546
245083842,4,1,0,607820
268823643,3,0,0,607543
438474436,2,0,0,607314
486121032,2,0,0,603393
325174167,3,0,0,603197
555939683,2,0,0,602561
356677956,4,0,0,601731
4266966,5,2,1,601053
501857837,2,0,0,600687
434654717,4,2,1,599768
382449008,2,0,0,599494
262365686,2,0,0,594446
