uid,level,vip_type,vip_status,time_after
31265350,5,1,1,-4781569
31265350,5,1,1,-4934176
31265350,5,1,1,-5008107
31265350,5,1,1,-5074026
31265350,5,1,1,-5719120
31265350,5,1,1,-7774863
31265350,5,1,1,-7945883
31265350,5,1,1,-8967729
31265350,5,1,1,-9072318
31265350,5,1,1,-12027525
31265350,5,1,1,-12719772
31265350,5,1,1,-16349534
32229855,6,2,1,583806
32229855,6,2,1,-23923984
32229855,6,2,1,-24030976
32229855,6,2,1,-24385929
32229855,6,2,1,-27120964
32229855,6,2,1,-28840669
32229855,6,2,1,-30142800
32229855,6,2,1,-32737113
32229855,6,2,1,-33967472
32229855,6,2,1,-35969143
32229855,6,2,1,-36265102
32229855,6,2,1,-36436965
32229855,6,2,1,-36633050
32229855,6,2,1,-37210074
32229855,6,2,1,-37680528
32229855,6,2,1,-40717012
32229855,6,2,1,-40896433
32229855,6,2,1,-42484897
32229855,6,2,1,-46030779
32229855,6,2,1,-48447644
32229855,6,2,1,-49521645
32229855,6,2,1,-50304170
32229855,6,2,1,-50430107
32229855,6,2,1,-50435836
32229855,6,2,1,-52374787
32229855,6,2,1,-57782688
32229855,6,2,1,-58312106
32229855,6,2,1,-60760052
32229855,6,2,1,-62556879
32229855,6,2,1,-66452541
32229855,6,2,1,-70859689
32229855,6,2,1,-75423604
37125593,5,1,1,797104
37125593,5,1,1,797073
37125593,5,1,1,791878
37125593,5,1,1,351
40960200,3,2,1,917772
40960200,3,2,1,917604
40960200,3,2,1,916688
40960200,3,2,1,915818
40960200,3,2,1,659182
40960200,3,2,1,659152
40960200,3,2,1,592406
40960200,3,2,1,580459
40960200,3,2,1,516730
40960200,3,2,1,509196
40960200,3,2,1,429083
40960200,3,2,1,429053
40960200,3,2,1,425950
40960200,3,2,1,425856
40960200,3,2,1,425731
40960200,3,2,1,425554
40960200,3,2,1,398130
40960200,3,2,1,228431
40960200,3,2,1,226775
40960200,3,2,1,139538
40960200,3,2,1,72982
40960200,3,2,1,57182
40960200,3,2,1,-444040
40960200,3,2,1,-444631
40960200,3,2,1,-550804
40960200,3,2,1,-550883
40960200,3,2,1,-550988
40960200,3,2,1,-551009
40960200,3,2,1,-551087
40960200,3,2,1,-551153
40960200,3,2,1,-551270
40960200,3,2,1,-551316
40960200,3,2,1,-551450
40960200,3,2,1,-723396
40960200,3,2,1,-723438
40960200,3,2,1,-723580
40960200,3,2,1,-781780
40960200,3,2,1,-894173
40960200,3,2,1,-894220
40960200,3,2,1,-980577
40960200,3,2,1,-1063691
40960200,3,2,1,-1064558
40960200,3,2,1,-1159961
40960200,3,2,1,-1159974
40960200,3,2,1,-1307571
40960200,3,2,1,-1384379
40960200,3,2,1,-1384831
40960200,3,2,1,-1384831
40960200,3,2,1,-1384886
40960200,3,2,1,-1385088
40960200,3,2,1,-1385108
40960200,3,2,1,-1568581
40960200,3,2,1,-1568647
40960200,3,2,1,-1586489
40960200,3,2,1,-1586511
40960200,3,2,1,-1587131
40960200,3,2,1,-1663557
40960200,3,2,1,-1675316
40960200,3,2,1,-1730582
40960200,3,2,1,-1754833
40960200,3,2,1,-1754890
40960200,3,2,1,-1817837
